Name,Severity,Activation Period,Training Period,Test Period,Deduplication Period,Detection Modules,ATT&CK Tactic,ATT&CK Technique,XDR Agent,XDR Agent (with XTH),Windows Event Collector,PAN Platform Logs,Azure Audit Logs,GCP Audit Logs,Azure AD,Azure AD Audit Logs,AWS Audit Logs,Okta,Ping,OneLogin,Google Workspace Audit Logs,Office 365 Audit Logs,Box Audit Logs,DropBox Audit Logs,PAN Global Protect/3rd Party VPN
Possible DCShadow attempt,High,14 Days,30 Days,N/A (single event),1 Day,,Credential Access (TA0006)Defense Evasion (TA0005),OS Credential Dumping (T1003)Rogue Domain Controller (T1207),X,,,X,,X,,,,,,,,,,,
An internal Cloud resource performed port scan on external networks,Medium,14 Days,30 Days,1 Hour,5 Days,Cloud,Discovery (TA0007)Impact (TA0040),Network Service Discovery (T1046)Resource Hijacking (T1496)Cloud Service Discovery (T1526),,,,,,X,,,,,,,,,,,
Upload pattern that resembles Peer to Peer traffic,Informational,14 Days,30 Days,30 Minutes,1 Day,,Command and Control (TA0011)Initial Access (TA0001),Application Layer Protocol (T1071)Non-Standard Port (T1571)Trusted Relationship (T1199)Phishing (T1566),X,,,X,,X,,,,,,,,,,,
A Kubernetes Cronjob was created,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),Scheduled Task/Job: Container Orchestration Job (T1053.007),,,,,X,X,,,X,,,,,,,,
Unusual secret management activity,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Credential Access (TA0006),Unsecured Credentials (T1552)Credentials from Password Stores: Cloud Secrets Management Stores (T1555.006),,,,,X,X,,,X,,,,,,,,
Azure Blob Container Access Level Modification,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Defense Evasion (TA0005),File and Directory Permissions Modification (T1222),,,,,X,,,,,,,,,,,,
Kubernetes network policy modification,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Network Denial of Service (T1498),,,,,X,X,,,X,,,,,,,,
Penetration testing tool activity,Medium,14 Days,30 Days,N/A (single event),7 Days,Cloud,Execution (TA0002),User Execution (T1204),,,,,X,X,,,X,,,,,,,,
Kubernetes pod creation with host network,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004)Execution (TA0002),Escape to Host (T1611)Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
Azure Key Vault modification,Informational,14 Days,30 Days,N/A (single event),3 Hours,Cloud,Credential Access (TA0006),Unsecured Credentials (T1552),,,,,X,,,,,,,,,,,,
An Azure Kubernetes Role or Cluster-Role was modified,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004),Valid Accounts (T1078),,,,,X,,,,,,,,,,,,
Unusual key management activity,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Credential Access (TA0006),Unsecured Credentials (T1552),,,,,X,X,,,X,,,,,,,,
Kubernetes Pod created with host process ID (PID) namespace,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004)Execution (TA0002),Escape to Host (T1611)Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
A cloud identity had escalated its permissions,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004),Valid Accounts (T1078),,,,,X,X,,,X,,,,,,,,
A Kubernetes StatefulSet was created,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002),Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
A Kubernetes node service account activity from external IP,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001),Valid Accounts: Default Accounts (T1078.001),,,,,X,X,,,X,,,,,,,,
Azure Network Watcher Deletion,Low,14 Days,30 Days,N/A (single event),3 Hours,Cloud,Defense Evasion (TA0005),Impair Defenses (T1562)Impair Defenses: Disable or Modify Cloud Logs (T1562.008),,,,,X,,,,,,,,,,,,
Azure Event Hub Deletion,Low,14 Days,30 Days,N/A (single event),1 Day,Cloud,Defense Evasion (TA0005),Impair Defenses (T1562)Impair Defenses: Disable or Modify Cloud Logs (T1562.008),,,,,X,,,,,,,,,,,,
A Kubernetes deployment was created,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002),Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
A Kubernetes service account was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),Valid Accounts (T1078),,,,,X,X,,,X,,,,,,,,
Unusual resource modification/creation,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040)Persistence (TA0003),Data Destruction (T1485)Account Manipulation (T1098),,,,,X,X,,,X,,,,,,,,
Unusual certificate management activity,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Credential Access (TA0006),Unsecured Credentials: Private Keys (T1552.004),,,,,X,X,,,X,,,,,,,,
A Kubernetes ephemeral container was created,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002),Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
Remote usage of an Azure Managed Identity token,Low,14 Days,30 Days,N/A (single event),5 Days,Cloud,Credential Access (TA0006),Steal Application Access Token (T1528)Unsecured Credentials (T1552),,,,,X,,,,,,,,,,,,
Azure Automation Webhook creation,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Persistence (TA0003),Account Manipulation (T1098),,,,,X,,,,,,,,,,,,
An Azure Kubernetes Cluster was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Data Destruction (T1485),,,,,X,,,,,,,,,,,,
A Kubernetes secret was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Credential Access (TA0006),Unsecured Credentials: Container API (T1552.007),,,,,X,X,,,X,,,,,,,,
A Kubernetes Pod was created with a sidecar container,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002),Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
A Kubernetes ReplicaSet was created,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002),Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
A Kubernetes Pod was deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Data Destruction (T1485),,,,,X,X,,,X,,,,,,,,
An Azure Network Security Group was modified,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Impair Defenses (T1562),,,,,X,,,,,,,,,,,,
An Azure virtual network was modified,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Network Denial of Service (T1498),,,,,X,,,,,,,,,,,,
Azure diagnostic configuration deletion,Informational,14 Days,30 Days,N/A (single event),3 Hours,Cloud,Defense Evasion (TA0005),Impair Defenses (T1562)Impair Defenses: Disable or Modify Cloud Logs (T1562.008),,,,,X,,,,,,,,,,,,
Cloud compute serial console access,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Lateral Movement (TA0008),Remote Services: Direct Cloud VM Connections (T1021.008),,,,,X,X,,,X,,,,,,,,
Azure Event Hub Authorization rule creation/modification,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Persistence (TA0003),External Remote Services (T1133),,,,,X,,,,,,,,,,,,
A cloud identity created or modified a security group,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Defense Evasion (TA0005),Impair Defenses: Disable or Modify Cloud Firewall (T1562.007),,,,,X,X,,,X,,,,,,,,
An identity accessed Azure Kubernetes Secrets,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Credential Access (TA0006),Unsecured Credentials: Credentials In Files (T1552.001),,,,,X,,,,,,,,,,,,
An Azure virtual network Device was modified,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Network Denial of Service (T1498),,,,,X,,,,,,,,,,,,
An Azure Suppression Rule was created,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Impair Defenses (T1562),,,,,X,,,,,,,,,,,,
Kubernetes Privileged Pod Creation,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004)Execution (TA0002),Escape to Host (T1611)Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
Azure device code authentication flow used,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Defense Evasion (TA0005)Persistence (TA0003),Account Manipulation (T1098)Use Alternate Authentication Material (T1550),,,,,X,,,,,,,,,,,,
A cloud snapshot was created or modified,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Exfiltration (TA0010)Defense Evasion (TA0005),Transfer Data to Cloud Account (T1537)Modify Cloud Compute Infrastructure (T1578),,,,,X,X,,,X,,,,,,,,
A cloud identity invoked IAM related persistence operations,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),Account Manipulation (T1098)Create Account (T1136)Valid Accounts: Cloud Accounts (T1078.004),,,,,X,X,,,X,,,,,,,,
Suspicious API call from a Tor exit node,High,14 Days,30 Days,N/A (single event),1 Day,Cloud,Command and Control (TA0011),Proxy: Multi-hop Proxy (T1090.003),,,,,X,X,,,X,,,,,,,,
An Azure Firewall Rule Collection was modified,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Impair Defenses: Disable or Modify Cloud Firewall (T1562.007),,,,,X,,,,,,,,,,,,
A Kubernetes service account has enumerated its permissions,Informational,14 Days,30 Days,N/A (single event),3 Days,Cloud,Discovery (TA0007),Container and Resource Discovery (T1613),,,,,X,X,,,X,,,,,,,,
A Kubernetes namespace was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Masquerading (T1036),,,,,X,X,,,X,,,,,,,,
Azure Storage Account key generated,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Credential Access (TA0006),Steal Application Access Token (T1528),,,,,X,,,,,,,,,,,,
An identity was granted permissions to manage user access to Azure resources,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Discovery (TA0007),Account Discovery (T1087),,,,,X,,,,,,,,,,,,
Azure Key Vault Secrets were modified,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Credential Access (TA0006),Unsecured Credentials: Credentials In Files (T1552.001),,,,,X,,,,,,,,,,,,
Azure Automation Runbook Creation/Modification,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Persistence (TA0003),Valid Accounts (T1078),,,,,X,,,,,,,,,,,,
An Azure Firewall policy deletion,Low,14 Days,30 Days,N/A (single event),3 Hours,Cloud,Defense Evasion (TA0005),Impair Defenses (T1562),,,,,X,,,,,,,,,,,,
Kubernetes Pod Created With Sensitive Volume,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004)Execution (TA0002),Escape to Host (T1611)Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
Modification or Deletion of an Azure Application Gateway Detected,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),External Remote Services (T1133),,,,,X,,,,,,,,,,,,
Log4J exploitation attempt against cloud hosted resources,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001)Credential Access (TA0006),Exploit Public-Facing Application (T1190)Steal Application Access Token (T1528),,,,,X,X,,,X,,,,,,,,
An Azure VPN Connection was modified,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Impair Defenses (T1562),,,,,X,,,,,,,,,,,,
An Azure firewall rule group was modified,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Impair Defenses: Disable or Modify Cloud Firewall (T1562.007),,,,,X,,,,,,,,,,,,
A Kubernetes cluster role binding was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004),Account Manipulation: Additional Container Cluster Roles (T1098.006),,,,,X,X,,,X,,,,,,,,
Kubernetes scanning activity,Medium,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002)Discovery (TA0007),Deploy Container (T1610)Container and Resource Discovery (T1613),,,,,X,X,,,X,,,,,,,,
PIM privilege member removal,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Persistence (TA0003),Account Manipulation (T1098),,,,,X,,,,,,,,,,,,
A Kubernetes API operation was successfully invoked by an anonymous user,Medium,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001),Valid Accounts: Default Accounts (T1078.001),,,,,X,X,,,X,,,,,,,,
Azure Automation Account Creation,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Persistence (TA0003),Valid Accounts (T1078),,,,,X,,,,,,,,,,,,
Network sniffing detected in Cloud environment,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Credential Access (TA0006)Discovery (TA0007),Network Sniffing (T1040),,,,,X,X,,,X,,,,,,,,
A Kubernetes role binding was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004),Account Manipulation: Additional Container Cluster Roles (T1098.006),,,,,X,X,,,X,,,,,,,,
Suspicious cloud compute instance ssh keys modification attempt,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),Account Manipulation: SSH Authorized Keys (T1098.004),,,,,X,X,,,X,,,,,,,,
Azure virtual machine commands execution,Informational,14 Days,30 Days,N/A (single event),3 Hours,Cloud,Execution (TA0002),Command and Scripting Interpreter (T1059),,,,,X,,,,,,,,,,,,
An Azure Key Vault key was modified,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Credential Access (TA0006),Unsecured Credentials: Credentials In Files (T1552.001),,,,,X,,,,,,,,,,,,
Remote usage of an Azure Service Principal token,Low,14 Days,30 Days,N/A (single event),5 Days,Cloud,Credential Access (TA0006),Steal Application Access Token (T1528)Unsecured Credentials (T1552),,,,,X,,,,,,,,,,,,
A Kubernetes cluster was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Data Destruction (T1485),,,,,X,X,,,X,,,,,,,,
Kubernetes cluster events deletion,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Impair Defenses: Disable or Modify Tools (T1562.001),,,,,X,X,,,X,,,,,,,,
An Azure Kubernetes Role-Binding or Cluster-Role-Binding was modified or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004),Valid Accounts (T1078),,,,,X,,,,,,,,,,,,
An operation was performed by an identity from a domain that was not seen in the organization,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001),External Remote Services (T1133),,,,,X,X,,,X,,,,,,,,
A Kubernetes service was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Network Denial of Service (T1498),,,,,X,X,,,X,,,,,,,,
An Azure DNS Zone was modified,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Command and Control (TA0011),Application Layer Protocol: DNS (T1071.004),,,,,X,,,,,,,,,,,,
An Azure Kubernetes Service Account was modified or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Account Access Removal (T1531),,,,,X,,,,,,,,,,,,
A Kubernetes ConfigMap was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),Valid Accounts (T1078),,,,,X,X,,,X,,,,,,,,
A cloud storage configuration was modified,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Defense Evasion (TA0005),Modify Cloud Compute Infrastructure (T1578),,,,,X,X,,,X,,,,,,,,
Cloud identity reached a throttling API rate,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Network Denial of Service (T1498),,,,,X,X,,,X,,,,,,,,
Azure Resource Group Deletion,Informational,14 Days,30 Days,N/A (single event),3 Hours,Cloud,Impact (TA0040)Defense Evasion (TA0005),Data Destruction (T1485)Impair Defenses (T1562)Impair Defenses: Disable or Modify Cloud Logs (T1562.008),,,,,X,,,,,,,,,,,,
A Service Principal was removed from Azure,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Modify Cloud Compute Infrastructure: Delete Cloud Instance (T1578.003),,,,,X,,,,,,,,,,,,
An Azure Firewall was modified,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Impair Defenses: Disable or Modify Cloud Firewall (T1562.007),,,,,X,,,,,,,,,,,,
Removal of an Azure Owner from an Application or Service Principal,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Defense Evasion (TA0005),Indicator Removal (T1070),,,,,X,,,,,,,,,,,,
An Azure Point-to-Site VPN was modified,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Impair Defenses (T1562),,,,,X,,,,,,,,,,,,
A Kubernetes DaemonSet was created,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002),Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
Azure Kubernetes events were deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Impair Defenses (T1562),,,,,X,,,,,,,,,,,,
A container registry was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Data Destruction (T1485),,,,,X,X,,,X,,,,,,,,
Granting Access to an Account,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001)Credential Access (TA0006),Valid Accounts (T1078)Unsecured Credentials (T1552)Modify Authentication Process (T1556)OS Credential Dumping (T1003)Brute Force (T1110)Forge Web Credentials (T1606),,,,,X,,,,,,,,,,,,
Azure Automation Runbook Deletion,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Defense Evasion (TA0005)Impact (TA0040),Impair Defenses (T1562)Service Stop (T1489),,,,,X,,,,,,,,,,,,
A cloud identity executed an API call from an unusual country,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Initial Access (TA0001),Valid Accounts (T1078),,,,,X,X,,,X,,,,,,,,
Unusual cross projects activity,Low,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001),Trusted Relationship (T1199),,,,,X,X,,,X,,,,,,,,
Unusual resource modification by newly seen IAM user,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001)Impact (TA0040),Valid Accounts: Cloud Accounts (T1078.004)Data Destruction (T1485),,,,,X,X,,,X,,,,,,,,
A New Server was Added to an Azure Active Directory Hybrid Health ADFS Environment,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Discovery (TA0007),Account Discovery (T1087),,,,,X,,,,,,,,,,,,
